ID,Year,LocationAbbr,LocationDesc,Class,Topic,Indicator,DataSource,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Stratification,StratificationType,IndicatorId,FootnoteType,FootNoteSymbol,FootnoteText,URL,DatasourceAbbr
511643,2017,GA,Georgia,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11.4,,,10.4,12.3,,Overall,Overall,BR016,,,,,
511599,2017,HI,Hawaii,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.9,,,10,11.8,,Overall,Overall,BR016,,,,,
511695,2017,ID,Idaho,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,8.7,,,7.8,9.7,,Overall,Overall,BR016,,,,,
512758,2017,IL,Illinois,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11,,,10,12,,Overall,Overall,BR016,,,,,
511761,2017,IN,Indiana,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11.8,,,11.2,12.5,,Overall,Overall,BR016,,,,,
513077,2017,IA,Iowa,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,9.6,,,8.9,10.3,,Overall,Overall,BR016,,,,,
510058,2017,KS,Kansas,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.5,,,10,11,,Overall,Overall,BR016,,,,,
512548,2017,KY,Kentucky,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,12.9,,,11.8,14,,Overall,Overall,BR016,,,,,
513705,2017,LA,Louisiana,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,13.6,,,12.4,14.8,,Overall,Overall,BR016,,,,,
509738,2017,ME,Maine,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.7,,,9.8,11.6,,Overall,Overall,BR016,,,,,
513472,2017,MD,Maryland,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.4,,,9.7,11.1,,Overall,Overall,BR016,,,,,
512691,2017,MA,Massachusetts,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,9.5,,,8.5,10.6,,Overall,Overall,BR016,,,,,
511984,2017,MI,Michigan,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11,,,10.4,11.8,,Overall,Overall,BR016,,,,,
510540,2017,MN,Minnesota,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,7.8,,,7.3,8.2,,Overall,Overall,BR016,,,,,
511948,2017,MS,Mississippi,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,14.2,,,13,15.4,,Overall,Overall,BR016,,,,,
512320,2017,MO,Missouri,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.4,,,9.6,11.3,,Overall,Overall,BR016,,,,,
512098,2017,MT,Montana,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,7.9,,,7,8.8,,Overall,Overall,BR016,,,,,
512020,2017,NE,Nebraska,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.1,,,9.5,10.8,,Overall,Overall,BR016,,,,,
513523,2017,NV,Nevada,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.4,,,9.1,11.9,,Overall,Overall,BR016,,,,,
512443,2017,NH,New Hampshire,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,8.4,,,7.6,9.3,,Overall,Overall,BR016,,,,,
512984,2017,NJ,New Jersey,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11,,,10.2,12,,Overall,Overall,BR016,,,,,
511686,2017,NM,New Mexico,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.7,,,9.7,11.7,,Overall,Overall,BR016,,,,,
511760,2017,NY,New York,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.5,,,9.8,11.2,,Overall,Overall,BR016,,,,,
510413,2017,NC,North Carolina,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11.4,,,10.3,12.5,,Overall,Overall,BR016,,,,,
512768,2017,ND,North Dakota,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,9,,,8.2,9.7,,Overall,Overall,BR016,,,,,
511708,2017,OH,Ohio,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11.3,,,10.6,12.1,,Overall,Overall,BR016,,,,,
511807,2017,OK,Oklahoma,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,12.7,,,11.8,13.7,,Overall,Overall,BR016,,,,,
513026,2017,OR,Oregon,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,9.6,,,8.7,10.5,,Overall,Overall,BR016,,,,,
512668,2017,PA,Pennsylvania,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.6,,,9.7,11.6,,Overall,Overall,BR016,,,,,
512171,2017,RI,Rhode Island,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,8.9,,,8,9.8,,Overall,Overall,BR016,,,,,
513002,2017,SC,South Carolina,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,13.4,,,12.7,14.2,,Overall,Overall,BR016,,,,,
511597,2017,SD,South Dakota,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11.1,,,9.8,12.5,,Overall,Overall,BR016,,,,,
511997,2017,TN,Tennessee,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,13.1,,,12,14.2,,Overall,Overall,BR016,,,,,
511305,2017,TX,Texas,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,11.9,,,10.8,13.2,,Overall,Overall,BR016,,,,,
513512,2017,UT,Utah,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,7.1,,,6.5,7.7,,Overall,Overall,BR016,,,,,
510624,2017,VT,Vermont,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,8.2,,,7.4,9.1,,Overall,Overall,BR016,,,,,
513743,2017,VA,Virginia,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,10.5,,,9.8,11.3,,Overall,Overall,BR016,,,,,
512040,2017,WA,Washington,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,9.1,,,8.6,9.8,,Overall,Overall,BR016,,,,,
512919,2017,WV,West Virginia,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,15.2,,,14.2,16.3,,Overall,Overall,BR016,,,,,
511773,2017,WI,Wisconsin,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,9.1,,,8.1,10.2,,Overall,Overall,BR016,,,,,
512620,2017,WY,Wyoming,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); BRFSS,BRFSS,%,Crude,9,,,8.1,10,,Overall,Overall,BR016,,,,,
